item_id,main_category,title,average_rating,rating_number,features,description,price,videos,store,categories,details,bought_together,subtitle,author
4110,Tools & Home Improvement,"Scotch 6132-BA-10, 75-Inch x 66-Foot x 0.007-Inch, Pack of 10 Super 33+ Vinyl Electrical Tape, 10, Black, 10 Pack",4.8,514,"['INSULATES AND PROTECTS against abrasion and moisture', 'PROTECTIVE JACKETING up to 600V splice insulation', 'PRESSURE-SENSITIVE RUBBER-RESIN ADHESIVE and PVC backing for electrical and mechanical protection', 'INDOOR AND OUTDOOR USE', 'HIGH ADHESION in extreme temperatures: 0°F-221°F']","[""Scotch Delicate Surface Painter’s Tape is great for surfaces that require a little extra care such as wood floors, wallpaper, cabinets, painted drywall, and freshly painted walls* (*painted at least 24 hours ago). This delicate surface tape with gentle adhesive can stay on surfaces for up to 60 days and then removes easily without leaving any sticky residue behind. This tape features Edge-Lock Technology that seals out paint to deliver sharp paint lines and clean removal for your more sensitive projects, including accent walls, decorative stripes and patterns. Whether you're protecting your hardwood floors from paint splatter or going all out with a decorative mural, rely on Scotch Delicate Surface Painter's Tape for a professional look that's easy on your surfaces.""]",63.49,"[{'title': 'Scotch Vinyl Electrical Tape (2086094)', 'url': 'https://www.amazon.com/vdp/087073f4671942b6ad6f56072d13ee4f?ref=dp_vse_rvc_0', 'user_id': ''}, {'title': '3M Super 33 Electrical Tape. 10PACK', 'url': 'https://www.amazon.com/vdp/0f300b66659d4987834c3b1cef1356c1?ref=dp_vse_rvc_1', 'user_id': '/shop/tacticalexpedition'}, {'title': '3M Built to perform (1937174)', 'url': 'https://www.amazon.com/vdp/05dcf01e755c4c20aee52d228ecd4a53?ref=dp_vse_rvc_2', 'user_id': ''}, {'title': 'Home Improvement Do’s and Don’ts', 'url': 'https://www.amazon.com/vdp/0071cd66693446a9b2657634fb48d161?ref=dp_vse_rvc_3', 'user_id': 'AGPOSSKWVV6YCIT76VCUYCHBDQ7Q'}, {'title': 'Scotch Vinyl Electrical Tape Super 88', 'url': 'https://www.amazon.com/vdp/4f307cadb0f94ff8b183eb0f0a76bfac?ref=dp_vse_rvc_4', 'user_id': ''}, {'title': 'Do you have cheap phone chargers that have exposed wires?', 'url': 'https://www.amazon.com/vdp/0e562fd2ce9e487186aabfdc8d5c279e?ref=dp_vse_rvc_5', 'user_id': '/shop/craigobligacionwilson'}, {'title': 'Not All Electrical Tape is Created Equally', 'url': 'https://www.amazon.com/vdp/74d226d9ec7746929f7593affd7fdcc1?ref=dp_vse_rvc_6', 'user_id': '/shop/metaspencer'}, {'title': 'Conductor Jacket Video', 'url': 'https://www.amazon.com/vdp/dd48df0ac83f4590b94f0128a9251ba5?ref=dp_vse_rvc_7', 'user_id': ''}, {'title': '3M Temflex Vinyl Electrical Tape 175', 'url': 'https://www.amazon.com/vdp/a8e3e6c64d5042c2a4890dfbbf613012?ref=dp_vse_rvc_8', 'user_id': ''}, {'title': '3M Safety SUPER-3/4X52FT black Super 33+ (TM) Electrical Tape, 3/4 in x 52 ft, 0. Fluid_Ounces', 'url': 'https://www.amazon.com/vdp/66aa3c6cbb87481fa29323734194ccd6?ref=dp_vse_rvc_9', 'user_id': ''}]",Scotch,"['Industrial & Scientific', 'Adhesives, Sealants & Lubricants', 'Adhesive Tapes', 'Electrical Tape']","{'Brand': 'Scotch', 'Color': 'Black', 'Material': 'Vinyl Plastic', 'Number of Items': '10', 'Special Feature': 'Rubber-resin', 'Surface Recommendation': 'Wood, Drywall', 'Size': '10', 'Thickness': '10 Mils', 'Tensile Strength': '15 Pounds Per Inch', 'Compatible Material': 'Vinyl, Wood, Polyvinyl Chloride', 'Manufacturer': '3M', 'Part Number': '6132-BA-10', 'Item Weight': '4.1 ounces', 'Item model number': '6132-BA-10', 'Is Discontinued By Manufacturer': 'No', 'Style': 'Tape', 'Item Package Quantity': '1', 'Special Features': 'Rubber-resin', 'Included Components': '10-Rolls', 'Batteries Included?': 'No', 'Batteries Required?': 'No', 'Best Sellers Rank': {'Industrial & Scientific': 14767, 'Electrical Tape': 73}, 'Date First Available': 'October 29, 2008'}",,,
3882,Amazon Home,"ChefLand Empty Professional Spray Bottles - New Improved 100% Leak Proof Technology, 16 Oz - Durable Trigger Sprayer with Mist & Stream & Off Modes - Pack of 3 -",3.7,327,"['DEVELOPED FOR HIGH-LEVEL FUNCTION - our 16-oz professional heavy duty impact resistance bottles were created with a goal to ensure easy and functional usage, therefore these refillable spray bottles are designed in a convenient shape that fits comfortably into your hand and made using natural HDPE plastic ensuring that they are solid and long-lasting!', '100% leak-proof design - new improved technology to ensure a 100% leak-proof product, keeping your hands clean throughout your using it also will not spill while storing!', 'Adjustable nozzle - enjoy the options of the simple to adjust the nozzle to Benefit from a distribution of a strong stream, mist or off. The simple trigger mechanism is easy to turn with no stiff or uncomfortable resistance, suction dip tube reaches the bottom of the bottle allowing you to get the last of your Liquid sprayed out!', 'Multi-purpose high-quality spray bottle - These 16 ounce spray bottles from chef land are ideal for a copious selection of household commercial-industrial tasks such as essential oil, watering plants, water, kitchen, bath, beauty, cleaning, gardening, lawn, hair-care, car de-icing, training your pet, and more!', '100% - In case of any issues with your order, for any reason, simply contact us and we will happily refund your money!']","['Get your hands on favorite trigger sprayer bottle set brought to you by Chef land! Are you in the market for a great quality bottle? Have you tried many similar products in the past but could never find a truly dependable our bottles are refillable it’s simply the best sprayer companion you could ever have! So, what’s there to think about? Place your order & get your very own set of 3 spraying bottles! Fill & use This multi-purpose spray bottle for: -homemade cleaning solution - Dog/cat training - air freshener mix - essential oils - hair care products - Ironing linen & more - kids outdoor spray - garden & plant care - summer cool off - summer humidifier']",8.99,"[{'title': ""You'd be better off putting the spray pump into a glass rather than using this"", 'url': 'https://www.amazon.com/vdp/bbc0d65209fd44f981f829de9db6b942?ref=dp_vse_rvc_0', 'user_id': 'AH4DHZD2EOWIKSPWFMYIYBGINBUQ'}, {'title': 'Edible Cleaning Supplies', 'url': 'https://www.amazon.com/vdp/002b33482232412c89f0823013b4ef03?ref=dp_vse_rvc_1', 'user_id': '/shop/influencer-f419fd51'}, {'title': 'Aromatherapy Room Spray', 'url': 'https://www.amazon.com/vdp/00a92bfb1b7c485c8d402cabe8030b28?ref=dp_vse_rvc_2', 'user_id': '/shop/influencer-f419fd51'}, {'title': 'Uineko Empty Spray Bottles for All-Purpose', 'url': 'https://www.amazon.com/vdp/6d06aeb295684f239b233c23bf864d45?ref=dp_vse_rvc_3', 'user_id': ''}, {'title': 'Very pleasantly surprised with this spray bottle set!', 'url': 'https://www.amazon.com/vdp/097ca3ab4adc4851a6ffa039ca3d7629?ref=dp_vse_rvc_4', 'user_id': '/shop/patchpuppy'}, {'title': 'Heavy-Duty Multipurpose Spray Bottles', 'url': 'https://www.amazon.com/vdp/064030c324b342e7993ffda5ce025e70?ref=dp_vse_rvc_5', 'user_id': ''}, {'title': 'JohnBee Spray Bottle Review', 'url': 'https://www.amazon.com/vdp/0a3dff3c0b3a4dab939a92db6faf8c49?ref=dp_vse_rvc_6', 'user_id': '/shop/tonybeyer'}]",ChefLand,"['Industrial & Scientific', 'Lab & Scientific Products', 'Glassware & Labware', 'Lab Bottles & Jars', 'Pump & Spray Bottles']","{'Brand': 'ChefLand', 'Material': 'Plastic', 'Capacity': '473 Milliliters', 'Number of Items': '3', 'Item Dimensions LxWxH': '4.8 x 11 x 4.9 inches', 'Special Feature': 'Adjustable Nozzle', 'Item Weight': '0.01 ounces', 'Product Care Instructions': 'Hand Wash Only', 'Reusability': 'Reusable', 'Product Dimensions': '4.8 x 11 x 4.9 inches', 'Manufacturer': 'ChefLand', 'Item model number': 'CL06611', 'Best Sellers Rank': {'Industrial & Scientific': 191786, 'Lab Pump & Spray Bottles': 205}, 'Is Discontinued By Manufacturer': 'No'}",,,
10410,Industrial & Scientific,"Robert Manufacturing R209 Series Bob Brass Adapter, 3/8"" NPT Male x 1/4"" NPT Female,Brass",4.4,429,"['Brass adaptor', 'Adapt male pipe thread stems to floats having female pipe threads', 'Not compliant with CA Prop 65 or Safe Water Drinking Act', 'Country Of Origin: United States']","['Brass adaptor. Adapt male pipe thread stems to floats having female pipe threads. 3/8"" NPT male x 1/4"" NPT female fittings.']",8.0,"[{'title': 'DERNORD Brass mini ball valve 1/4 Inch', 'url': 'https://www.amazon.com/vdp/ac40a41fc4934349b65fbda7b1b75505?ref=dp_vse_rvc_0', 'user_id': ''}, {'title': 'Legines Brass Pipe Adapter & Bushing', 'url': 'https://www.amazon.com/vdp/1eb0334a0098483197ffc3a66ce2373f?ref=dp_vse_rvc_1', 'user_id': ''}]",Robert Manufacturing,"['Industrial & Scientific', 'Hydraulics, Pneumatics & Plumbing', 'Fittings', 'Valves', 'Float Valves']","{'Size': '3/8"" x 1/4""', 'Material': 'Brass', 'Brand': 'Robert Manufacturing', 'Color': 'Brass', 'Connector Type': 'Adapter', 'Exterior Finish': 'Brass', 'Thread Type': 'NPT', 'Item Weight': '0.03 Pounds', 'Number of Pieces': '1', 'Package Dimensions': '13.11 x 5.12 x 0.43 inches; 0.48 Ounces', 'Item model number': 'R209-3/8X1/4', 'Date First Available': 'July 23, 2012', 'Manufacturer': 'Control Devices', 'Country of Origin': 'USA', 'Domestic Shipping': 'Item can be shipped within U.S.', 'International Shipping': 'This item can be shipped to select countries outside of the U.S.  Learn More'}",,,
6448,Industrial & Scientific,"Velleman VTBEND1 Resistor and Axial Component Lead Bending Tool Set, 1 Grade to 12 Grade, 1/4W to 3W",3.6,54,"['Four piece set', 'Make consistent accurate bends on axial component leads']",['Resistor and axial component lead bending tool set eliminates stress at the component/lead junction.'],,[],Velleman,"['Industrial & Scientific', 'Industrial Electrical', 'Passive Components']","{'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '3.7 x 3.2 x 0.5 inches; 0.01 Ounces', 'Item model number': 'VTBEND1', 'Date First Available': 'February 19, 2015', 'Manufacturer': 'Velleman, Inc'}",,,
11557,Tools & Home Improvement,"Klein Tools VDV526-052 Cable Tester, LAN Scout Jr. Network Tester / Continuity Tester for RJ45 Data Cable Twisted Pair Connections",4.6,935,"['Cable tester for twisted pair, data cables terminated with RJ45 connectors', 'Displays wire map', 'Easy to use, compact tool saves time and money on the job', 'Dual function button- operates test functions and tone generator', 'Large display for easy identification', 'Rubber molding for comfort', 'Self-storing remote']","[""This compact cable tester is an easy-to-use tester that saves time and money on the job. The LAN Scout Jr. tests continuity on twisted pair data wiring connections. An integrated tone generator supports multiple tones and control of the pins carrying the tone. The self-storing remote makes this tool easy to store and locate. For more than 160 years, Klein Tools has manufactured premium-quality, professional-grade hand tools that deliver the performance, durability and precision needed to get the job done right. Our family of engineers, workers and craftsman continue to put six generations of expertise into every tool we create by using only the highest quality materials, superior workmanship, and keeping manufacturing as close to home as we can. Klein isn't just the name of our company, it's also our family name. And since we're an American company that's family-owned and family-run, you know you can count on us to be here tomorrow. Klein Tools doesn't just make great products, we make great products that stand up to the demands of the professionals who use them every day ... Since 1857.""]",,"[{'title': 'Klein TraceAll Tone & Probe', 'url': 'https://www.amazon.com/vdp/10b3f5b92eb34e1a9b7d821d3ab4d973?ref=dp_vse_rvc_0', 'user_id': ''}, {'title': ""Klein's Basic & Advanced Cable Testers Compared"", 'url': 'https://www.amazon.com/vdp/0043d54b10ca4a1db8f00f878274f455?ref=dp_vse_rvc_1', 'user_id': '/shop/thenetguy'}, {'title': 'The NF488 POE Multimeter - it works!', 'url': 'https://www.amazon.com/vdp/0fe2a0524519422f887baab557f51c40?ref=dp_vse_rvc_2', 'user_id': '/shop/thenetguy'}, {'title': 'Klein Tools VDV999-150 Replacement Remote for LAN Explorer VDV526100', 'url': 'https://www.amazon.com/vdp/b70a8e2b9f5e437782f63438277e39fa?ref=dp_vse_rvc_3', 'user_id': ''}, {'title': 'Scout Pro Tester', 'url': 'https://www.amazon.com/vdp/45af1f6b1e354666a5ad37c8cb880882?ref=dp_vse_rvc_4', 'user_id': ''}, {'title': 'Professional VDV Cable Mapper', 'url': 'https://www.amazon.com/vdp/50dd59e0f09f4672b7753088a47e6013?ref=dp_vse_rvc_5', 'user_id': ''}, {'title': 'Fluke Networks MS2-100 Cable Tester', 'url': 'https://www.amazon.com/vdp/9c19bdd92d1e49a5b6d442456cd64000?ref=dp_vse_rvc_6', 'user_id': ''}, {'title': 'Klein Tools Pass-Thru Modular Data Plug', 'url': 'https://www.amazon.com/vdp/6a01f1004da04a239b03a6b93dbe7752?ref=dp_vse_rvc_7', 'user_id': ''}, {'title': 'If you dont have this one in your toolbox, get one today !!', 'url': 'https://www.amazon.com/vdp/01f0c87f85c7481cacf32edadc18883b?ref=dp_vse_rvc_8', 'user_id': '/shop/techbyteswithronnutter'}, {'title': 'Klein Tools Cable Tracer', 'url': 'https://www.amazon.com/vdp/179291ebef454ddf8b1fcb28a1afd4c2?ref=dp_vse_rvc_9', 'user_id': ''}]",Klein Tools,"['Industrial & Scientific', 'Test, Measure & Inspect', 'Network & Cable Testers']","{'Brand': 'Klein Tools', 'Power Source': 'Battery Powered', 'Style': 'LAN Scout Jr.', 'Color': 'Black|yellow', 'Item Weight': '4 Ounces', 'Item Dimensions LxWxH': '4.6 x 2.2 x 1 inches', 'Manufacturer': 'Klein Tools', 'Part Number': 'VDV526-052', 'Product Dimensions': '4.6 x 2.2 x 1 inches', 'Item model number': 'VDV526-052', 'Batteries': '4 LR44 batteries required. (included)', 'Is Discontinued By Manufacturer': 'No', 'Size': '4.6 Inch', 'Material': 'Plastic and Stamped Metal', 'Item Package Quantity': '1', 'Number Of Pieces': '1', 'Special Features': 'LED Response', 'Included Components': 'VDV526-052', 'Batteries Included?': 'Yes', 'Batteries Required?': 'Yes', 'Battery Cell Type': 'Lithium Ion', 'Description Pile': '4 x LR44', 'Average Battery Life': '15000 Hours', 'Warranty Description': 'Klein Tools electronic test and measurement devices (and accessories), manufactured and sold for commercial or industrial uses, are warranted to be free from defects in materials and workmanship for two years from the date of purchase (unless otherwise noted on the product packaging)', 'Best Sellers Rank': {'Industrial & Scientific': 103244, 'Network & Cable Testers': 207}, 'Date First Available': 'November 16, 2010'}",,,
2690,Industrial & Scientific,SainSmart RepRap MK2B 3D Printers Dual Power PCB HeatBed Heat Bed 12/24V Updated Version of MK2A,3.4,41,[],[],,[],SainSmart,"['Industrial & Scientific', 'Additive Manufacturing Products', '3D Printer Parts & Accessories', '3D Printer Accessories']","{'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '9.7 x 9.3 x 1.3 inches; 2.2 Pounds', 'Item model number': '20-029-101', 'Date First Available': 'September 5, 2013', 'Manufacturer': 'SainSmart'}",,,
871,Industrial & Scientific,One Hundred (100) 608ZZ 8x22x7 Shielded Greased Miniature Ball Bearings,4.4,38,"['Single-row bearing for supporting radial loads', 'Double shielded to keep lubricant in and contaminants out', 'Chrome steel for durability and resistance to deformity under heavy loads', '34,000 RPM limit with grease lubrication', 'Dimensions suitable for use in such applications as skateboards, inline skates, and scooters']","['This 608ZZ 8x22x7 shielded greased miniature ball bearing by BC Precision is a single-row bearing for supporting radial loads. The bearing is made of chrome steel for durability and resistant to deformity under heavy loads, and is double-shielded to keep lubricant in and contaminants out. it has a revolutions per minute (RPM) limit of 34,000 with grease lubrication. The dimensions of this bearing make it suitable for use in skateboards, inline skates, and scooters, among others. Rolling bearings use rolling elements to maintain the separation between moving parts to reduce rotational friction and support radial and axial loads. These elements can be one of the following types: ball, cylindrical, spherical, barrel, needle, spindle, or tapered. All rolling bearings are open, shielded, or sealed. Sealed bearings are lubricated with oil or grease in the bearing factory, while open and shielded bearings are meant to be lubricated in place, with periodic reapplication of lubrication, based on use. The shield protects the working parts of the bearing from environmental debris that may be introduced and could reduce the ball bearing speed and lifespan. Rolling bearings are used in a range of applications from agricultural machinery to conveying equipment, robotics, dental equipment, elevators, rolling mills, ship rudder shafts, and aggregate crushers, among others.']",45.85,"[{'title': 'BC Precision | Precision Balls, Media, and Bearings', 'url': 'https://www.amazon.com/vdp/00590958d5dc4dd7bca96cad7acb75f7?ref=dp_vse_rvc_0', 'user_id': ''}]",BC Precision,"['Industrial & Scientific', 'Power Transmission Products', 'Bearings, Balls & Bushings', 'Ball Bearings', 'Radial Ball Bearings', 'Deep-Groove Ball Bearings']","{'Brand': 'BC Precision', 'Material': 'Alloy Steel', 'Item Dimensions LxWxH': '0.31 x 0.28 x 0.87 inches', 'Bearing Number': '608ZZ', 'Bearing Type': 'Ball Bearing', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '0.31 x 0.28 x 0.87 inches; 2.89 Pounds', 'Item model number': '100BC608ZZ', 'Date First Available': 'September 25, 2014', 'Manufacturer': 'BC Precision'}",,,
7838,Industrial & Scientific,uxcell A14071800ux0297 35mm DIN Rail DPDT 8P General Purpose Power Relay AC 24V Coil W Socket,4.4,156,"['Product Name : Electromagnetic Relay;Coil Voltage : AC 24V;Contact Capacity :10A 240VAC/28VDC', 'Type : DPDT; Number of Terminals : 8', 'Mount Rail Type : 35mm DIN Rail;Fixing Mount Hole Size : 5.5 x 4mm/0.22"" x 0.16""(L*W);Total Size (Approx.) : 7.5 x 6.3 x 2.3cm/3"" x 2.5"" x 0.9""(L*W*H)', 'Shell Material : Plastic, Electric Parts;Main Color : Black, Clear Blue', 'Net Weight : 70g;Package Content : 1 x Electromagnetic Relay']","[""Clear BLUE plastic housing. Can adjust automatically, protect and transform the electric circuit. Used widely in the remote control, communication, automatic control system, electronic equipment's, etc.""]",9.99,[],uxcell,"['Industrial & Scientific', 'Industrial Electrical', 'Controls & Indicators', 'Relays', 'Electromechanical Relays']","{'Contact Type': 'Dpdt', 'Current Rating': '10 Amps', 'Mounting Type': 'DIN Rail Mount', 'Brand': 'uxcell', 'Operation Mode': 'Automatic', 'Package Dimensions': '4.5 x 4.25 x 1.9 inches; 0.01 Ounces', 'Item model number': 'a14071800ux0297', 'Date First Available': 'November 22, 2014', 'Manufacturer': 'uxcell', 'Country of Origin': 'China'}",,,
5924,Toys & Games,Racingirl NIDICI Battery Shrink Wrap 2.95 Inch Flat Width Heat Shrink Tube Protective Film 6.5ft for RC Lipo Battery,4.5,256,"['Material:polyolefin,environmentally friendly heat shrinkable tubing insulation; Length ( approx.): 2M/6.5Ft; Color: Transparent; Flat Width: 75mm/2.95inch', 'Thickness: 0.2mm (before shrinkage); Shrink Temperature Range: -55℃ ~ 125℃', 'Perfect for wire connection, solder joint protection, rc lipo battery shrink wrap', 'Rated Voltage : 600V; Shrink Ratio: 50%', 'It is recommended to use a heat gun to shrink']","['Specification', 'Material : Polyolefin ; Rated Voltage : 600V  Shrink Temperature Range: -55℃ ~ 125℃Shrink Ratio : 2:1 Heating tool: hot air gun', 'Feasture:', 'Flame retardant, environmental protection, insulation, soft, stable performance, low temperature shrinkage, shrinking fast, etc.Can have the effect of anti-counterfeiting and beautify the packing materials, and the items were capsuled can have insulation, moistureproof, anticorrosive, the effect of dustproof, etc.Applicance: Used for Lipo Battery Pack Covering.', 'Package Included', '6.56 feet Heat Shrink Tube']",13.99,[],NIDICI,"['Industrial & Scientific', 'Industrial Electrical', 'Wiring & Connecting', 'Heat-Shrink Tubing']","{'Package Dimensions': '4.61 x 3.86 x 2.64 inches', 'Item Weight': '5.6 ounces', 'Item model number': '021-20180822HeatShrinkTube4', 'Best Sellers Rank': {'Industrial & Scientific': 32844, 'Industrial Heat-Shrink Tubing': 126}, 'Is Discontinued By Manufacturer': 'No', 'Manufacturer': 'NIDICI', 'Brand': 'NIDICI', 'Material': 'Polyolefin', 'Color': 'Color: Transparent', 'Nominal Wall Thickness': '0.2 month'}",,,
3517,Tools & Home Improvement,"SNUG Fasteners (SNG481) 100 Qty 3/16"" x 1-3/4"" Flat Head Phillips Diamond Tip Concrete Screws to Anchor Masonry, Block & Brick, Count",4.6,1755,"['Corrosion resistance and long lasting performance due to the EnviroSeal blue coating', 'Deep threads provide superior holding strength', 'Great for anchoring items to concrete, brick, block, or other masonry materials', 'The diamond tip allows for superior penetrating into hard materials', 'Package includes 100 screws and 1 masonry drill bit']","['Corrosion resistance and long lasting performance due to the EnviroSeal blue coating. Deep threads provide superior holding strength. Great for anchoring items to concrete, brick, block, or other masonry materials. The diamond tip allows for superior penetrating into hard materials. Package includes 100 screws and 1 masonry drill bit.']",,"[{'title': 'Need To Screw Into Concrete? Perfect Screw For The Job', 'url': 'https://www.amazon.com/vdp/0e9242175c314bbc8f806ab3b5a2c270?ref=dp_vse_rvc_0', 'user_id': '/shop/futureaffiliatepro'}, {'title': 'Concrete Screws with STICK-TIGHT technology', 'url': 'https://www.amazon.com/vdp/00ae758e10384223860692e8f3dce0cd?ref=dp_vse_rvc_1', 'user_id': ''}, {'title': 'Hex Head Diamond Tip Concrete Screws Review', 'url': 'https://www.amazon.com/vdp/0f2fa8bcded34e218df580b1f1c20e3c?ref=dp_vse_rvc_2', 'user_id': '/shop/barrymonteiro1'}, {'title': 'Bobibbi High Performance Concrete Screws', 'url': 'https://www.amazon.com/vdp/0f8990043dde43ae8ea5e48b1c9917e9?ref=dp_vse_rvc_3', 'user_id': ''}, {'title': 'RED Seal Moisture Barrier HIGH Performance Flat Head Concrete Screw Concrete Anchor 1/4"" X 2-1/4', 'url': 'https://www.amazon.com/vdp/6df4fb73700b488f994c4e1efaf1dd74?ref=dp_vse_rvc_4', 'user_id': ''}]",SNUG Fasteners,"['Industrial & Scientific', 'Fasteners', 'Screws', 'Concrete Screws']","{'Drive System': 'Phillips', 'Head Style': 'Flat', 'Item Dimensions LxWxH': '4 x 6 x 0.5 inches', 'Thread Size': '3/16""', 'Metal Type': 'Alloy Steel', 'Brand': 'SNUG Fasteners', 'Head Type': 'Flat', 'Item Weight': '14.3 ounces', 'Thread Coverage': 'Partially Threaded', 'Fastener Type': 'Self-Tapping Screw', 'Size': '1.75 inches', 'Manufacturer': 'Snug Fasteners', 'Part Number': 'BC-1028CNPF-100 FBA', 'Product Dimensions': '4 x 6 x 0.5 inches', 'Item model number': 'SNG481', 'Item Package Quantity': '1', 'Measurement System': 'Imperial', 'Usage': 'Brick, Block, Concrete', 'Included Components': 'Hardware; Fasteners & Hooks; concrete-screws-and-bolts', 'Batteries Included?': 'No', 'Batteries Required?': 'No', 'Warranty Description': '5 Years', 'Best Sellers Rank': {'Industrial & Scientific': 88423, 'Concrete Screws': 90}, 'Date First Available': 'April 3, 2019'}",,,
