model,recall@10,time_s,dim,lr,weight_decay,n_epochs,hidden_dim,dropout,max_seq_len
bpr,0.048917711733379145,60.2,256.0,0.0005,1e-06,100,,,
bpr,0.04883181583920289,36.5,256.0,0.001,1e-06,50,,,
bpr,0.04835938842123347,60.4,256.0,0.002,1e-06,100,,,
bpr,0.048273492527057205,61.0,256.0,0.001,1e-06,100,,,
bpr,0.04775811716199966,42.6,128.0,0.002,1e-06,100,,,
bpr,0.047371585638206495,36.0,256.0,0.002,1e-06,50,,,
bpr,0.04604019927847449,40.6,128.0,0.001,1e-06,100,,,
bpr,0.045610719807593195,35.4,256.0,0.0005,1e-06,50,,,
bpr,0.04393574987115616,26.8,128.0,0.002,1e-06,50,,,
bpr,0.04238962377598351,42.1,128.0,0.0005,1e-06,100,,,
bpr,0.04221783198763099,25.6,128.0,0.001,1e-06,50,,,
bpr,0.04101528946916337,26.9,128.0,0.0005,1e-06,50,,,
bpr,0.03946916337399072,35.1,256.0,0.0005,1e-05,50,,,
bpr,0.03908263185019756,37.5,64.0,0.002,1e-06,100,,,
bpr,0.038910840061845045,24.3,64.0,0.002,1e-06,50,,,
bpr,0.038266620855523105,36.6,64.0,0.001,1e-06,100,,,
bpr,0.03775124549046555,23.8,64.0,0.001,1e-06,50,,,
bpr,0.03745060986084865,35.4,256.0,0.001,1e-05,50,,,
bpr,0.037364713966672396,35.8,64.0,0.0005,1e-06,100,,,
bpr,0.037321766019584264,60.4,256.0,0.0005,1e-05,100,,,
bpr,0.03727881807249613,40.7,128.0,0.0005,1e-05,100,,,
bpr,0.037021130389967356,25.6,128.0,0.0005,1e-05,50,,,
bpr,0.03646280707782168,25.9,128.0,0.001,1e-05,50,,,
bpr,0.035904483765676,23.7,64.0,0.001,1e-05,50,,,
bpr,0.03564679608314723,37.1,64.0,0.0005,1e-05,100,,,
bpr,0.035131420718089675,22.8,64.0,0.0005,1e-05,50,,,
bpr,0.0348737330355609,24.9,64.0,0.0005,1e-06,50,,,
bpr,0.03478783714138464,42.1,128.0,0.001,1e-05,100,,,
bpr,0.03461604535303212,26.7,128.0,0.002,1e-05,50,,,
bpr,0.0338429823054458,37.1,64.0,0.001,1e-05,100,,,
bpr,0.03324171104621199,37.6,256.0,0.002,1e-05,50,,,
bpr,0.03298402336368322,59.3,256.0,0.001,1e-05,100,,,
bpr,0.03259749183989005,24.2,64.0,0.002,1e-05,50,,,
bpr,0.03160968905686308,61.4,256.0,0.002,1e-05,100,,,
bpr,0.03148084521559869,37.1,64.0,0.002,1e-05,100,,,
bpr,0.030793678062188627,41.9,128.0,0.002,1e-05,100,,,
bpr,0.017350970623604193,26.5,128.0,0.002,0.0001,50,,,
bpr,0.01705033499398729,25.5,128.0,0.0005,0.0001,50,,,
bpr,0.017007387046899157,37.1,64.0,0.002,0.0001,100,,,
bpr,0.016706751417282253,36.9,256.0,0.002,0.0001,50,,,
bpr,0.016663803470194125,36.6,64.0,0.0005,0.0001,100,,,
bpr,0.016663803470194125,37.1,64.0,0.001,0.0001,100,,,
bpr,0.016663803470194125,42.6,128.0,0.001,0.0001,100,,,
bpr,0.016663803470194125,35.9,256.0,0.001,0.0001,50,,,
bpr,0.016663803470194125,60.0,256.0,0.001,0.0001,100,,,
bpr,0.016620855523105996,24.0,64.0,0.001,0.0001,50,,,
bpr,0.016620855523105996,24.2,64.0,0.002,0.0001,50,,,
bpr,0.016620855523105996,40.6,128.0,0.0005,0.0001,100,,,
bpr,0.016620855523105996,27.0,128.0,0.001,0.0001,50,,,
bpr,0.016620855523105996,35.9,256.0,0.0005,0.0001,50,,,
bpr,0.016620855523105996,61.3,256.0,0.0005,0.0001,100,,,
bpr,0.016577907576017865,63.0,256.0,0.002,0.0001,100,,,
bpr,0.01636316784057722,23.6,64.0,0.0005,0.0001,50,,,
bpr,0.01636316784057722,42.0,128.0,0.002,0.0001,100,,,
gru,0.030965469850541143,210.7,,0.0005,,100,64.0,0.3,100.0
gru,0.030578938326747983,192.3,,0.0005,,100,64.0,0.3,50.0
gru,0.028989864284487202,280.4,,0.0005,,150,64.0,0.3,50.0
gru,0.028861020443222814,187.6,,0.001,,100,64.0,0.3,50.0
gru,0.02864628070778217,191.5,,0.0005,,100,64.0,0.2,50.0
gru,0.02864628070778217,205.1,,0.0005,,100,64.0,0.2,100.0
gru,0.02864628070778217,299.8,,0.0005,,150,64.0,0.3,100.0
gru,0.0279591135543721,203.5,,0.001,,100,64.0,0.3,100.0
gru,0.027658477924755197,195.4,,0.0005,,100,64.0,0.1,50.0
gru,0.027658477924755197,299.7,,0.0005,,150,64.0,0.2,100.0
gru,0.02740079024222642,298.1,,0.001,,150,64.0,0.3,100.0
gru,0.027186050506785776,278.8,,0.001,,150,64.0,0.3,50.0
gru,0.02684246693008074,202.8,,0.001,,100,64.0,0.2,100.0
gru,0.026627727194640096,187.8,,0.001,,100,64.0,0.2,50.0
gru,0.026584779247551968,276.5,,0.0005,,150,64.0,0.2,50.0
gru,0.026155299776670676,295.7,,0.001,,150,64.0,0.2,100.0
gru,0.026026455935406288,208.3,,0.0005,,100,64.0,0.1,100.0
gru,0.025554028517436867,232.0,,0.001,,100,128.0,0.3,100.0
gru,0.02551108057034874,283.4,,0.0005,,150,64.0,0.1,50.0
gru,0.02538223672908435,217.3,,0.0005,,100,128.0,0.3,50.0
gru,0.025038653152379315,306.5,,0.0005,,150,64.0,0.1,100.0
gru,0.024995705205291187,206.4,,0.001,,100,64.0,0.1,100.0
gru,0.024609173681498023,272.9,,0.001,,150,64.0,0.2,50.0
